Title,Price,Date
LEASE TAKEOVER - 2018 Lexus IS 300,$461,Mar  2
Toyota 4Runner SR5 2006,$8400,Mar  1
2006 Chrysler 300,$3495,Mar  1
2013 Hyundai Elantra GT GLS TOIT MAGS SIÈGES CHAUFFANTS BLUETHO,$5495,Mar  1
2012 Subaru Forester X Limited TOIT+++MAGS+++AWD+++SIEGES CHUFF,$8995,Mar  1
2005 INFINITI  G35 Luxury,$3995,Mar  1
2004 Toyota Sienna LE 7 PASSANGER MAGS DVD,$2995,Mar  1
2008 Ford Focus SES CUIR TOIT MAGS,$1795,Mar  1
2008 Jeep Grand Cherokee Laredo Diesel 4X4 CUIR TOIT MAGS CAMERA,$6995,Mar  1
2012 Volkswagen Tiguan Highline 4MOTION/CUIR/TOIT PANORAMIQUE,$12995,Mar  1
2003 Honda Berline Civic DX-G,$2495,Mar  1
2006 BMW Série 3 325xi CUIR TOIT OUVRANT MAGS AWD,$3995,Mar  1
2009 Subaru Forester (Natl) X w/Premium Pkg,$5995,Mar  1
2009 Toyota Venza,$8995,Mar  1
2008 Honda CR-V LX 4X4 4 CLY,$6495,Mar  1
2001 Ford Focus ZX3,$1795,Mar  1
2011 Mercedes-Benz Classe-C C 250 4 MATIC CUIR MAGS,$99000,Mar  1
2013 Toyota Prius Hybrid,$12495,Mar  1
2010 Buick Enclave CXL1 CUIR TOOIT MAGS DVD CAMERA RECUL 7 PASS,$6995,Mar  1
2008 Mazda Tribute GS,$2495,Mar  1
2009 Toyota Corolla Sedan 4D,$5495,Mar  1
"2014 Kia Rondo LX CRUISE CONTROL,BLUETOOTH,BANCS CHAUFFANT",$8995,Mar  1
"2008 BMW X3 3,0si CUIR TOIT MAGS 4X4",$5495,Mar  1
2011 Honda CR-V LX 4 CLY MAGS,$8995,Mar  1
2005 Toyota Sienna LE Minivan 4D,$4995,Mar  1
2005 Hyundai Santa Fe GL,$1995,Mar  1
2000 Acura EL SE,$995,Mar  1
2014 Honda CR-V EX-L CUIR TOIT MAGS CAMERA RECUL AWD SIEGES CHUF,$15995,Mar  1
2013 Toyota Prius Hybrid,$12995,Mar  1
2012 Subaru Forester X Limited TOIT+++MAGS+++AWD+++SIEGES CHUFF,$8995,Mar  1
2009 Subaru Forester X Limited CUIR TOIT MAGS AWD,$5995,Mar  1
"2007 Pontiac Grand Prix...140 kms, auto, full load",$2700,Mar  1
Volvo XC70 2010. 3.2L AWD...Very Clean/Tre Propr,favorite this post,Mar  1
2010 BMW 528i xDrive AWD Automatic 3L,$7995,Mar  1
2013 DODGE GRAND CARAVAN SXT CREW,$7995,Mar  1
2015 Dodge Grand Caravan SE,$8995,Mar  1
MOTORISE ITASCA REYO,$99900,Mar  1
2009 Nissan Quest 3.5 SL...TV DVD-portes electriques-camera du recule,$4600,Mar  1
"2008 Ford Escape XLT 4WD...full load, sunroof, A-1",$4400,Mar  1
"2008 Mercedes B200...automatic, equipped",$4900,Mar  1
"2007 Volvo XC90 3.2 AWD...7-pass, leather, sunroof",$4900,Mar  1
Mazda  3    GS  automatic  can be tradet toyota honda nissan,$4900,Mar  1
"Toyota corolla, LE automatic  privet",$3948,Mar  1
1976 Lincoln Continental Mark IV,$15000,Feb 29
"2006 CHEVROLET IMPALA , AUTOMATIQUE , 152.000 KM , TOUTE EQUIPE",$2299,Feb 29
1969 Ford Mustang,$20000,Feb 29
"2011 HYUNDAI SONATA , AUTOMATIQUE , 4 CYLINDRES , BLEUTOOTH , TOIT",$4499,Feb 29
"2012 KIA RIO , AUTOMATIQUE , 4 CYLINDRES 1.6  LITRES , BLEUTOOTH",$4199,Feb 29
"2011 HYUNDAI SANTA FE  , 4X4 , AUTOMATIQUE  ,  BLEUTOOTH TELEPHONE",$5499,Feb 29
"2014 HONDA CRV , EXL , 4X4 , AUTOMATIQUE , 4 CYLINDRES , SIEGES CUIR",$13499,Feb 29
"2014 JEEP CHEROKEE , AUTOMATIQUE , 4 CYLINDRES , TOUTE EQUIPE",$8999,Feb 29
"2012 CHRYSLER TOWN COUNTRY , AUTOMATIQUE , 7 PASSAGERS ,  2 DVD/TELE",$5499,Feb 29
"2012 KIA OPTIMA , 4 CYLINDRES , AUTOMATIQUE , TOUTE EQUIPE",$5499,Feb 29
"2013 MAZDA CX5 , AUTOMATIQUE , 4 CYLINDRES , CAMERA RECULANT , TOIT",$6999,Feb 29
"2008 HONDA CIVIC , AUTOMATIQUE , COUPE,  4 CYLINDRES 1.8 LITRES  , AIR",$2899,Feb 29
"2002 TOYOTA CELICA , MANUEL  , AIR CLIMATISE  ,",$2799,Feb 29
"2010 HYUNDAI ELANTRA , AUTOMATIQUE , 4 CYLINDRES 2.0 LITRES",$2799,Feb 29
"2012 KIA RONDO , 7 PASSAGERS  , 4 CYLINDRES , TOUTE EQUIPE",$3499,Feb 29
"2005 TOYOTA ECHO, MANUEL  ,RADIO/CD ,  4 CYLINDRES 1.5 LITRES",$1799,Feb 29
2010 TOYOTA MATRIX,$4770,Feb 29
2006 ACURA TSX Premium,$4770,Feb 29
Mitsubishi Eclipse GT,$3500,Feb 29
2014 Toyota Matrix GARANTIE 1 ANS INCLUS),$10995,Feb 28
2008 Acura TL Type S CUIR TOIT MAGS NAVI CAMERA RECUL,$7995,Feb 28
"2013 Mitsubishi Lancer SE SIEGES CHAUF, CRUISE, BLUETOOTH TOIT",$6995,Feb 28
2010 Mazda3 Hatchback -----103.000km,$3990,Feb 28
2013 Chevrolet Tahoe LTZ,$10500,Feb 28
TOYOTA MATRIX,$1990,Feb 28
2007 BMW 328XI,$3990,Feb 28
Fully loaded 2008 Infiniti M35X luxury sedan,$7600,Feb 28
"2009 DODGE CARAVAN , AUTOMATIQUE , 7 PASSAGERS , TOUTE EQUIPE",$2799,Feb 28
2008 Volkswagen GOLF GLS,$3300,Feb 28
TOYOTA MATRIX  2009,$4250,Feb 28
2014 Fiesta ST Turbo,$21500,Feb 28
2009 Dodge Caliber SXT-------106.000km,$2990,Feb 28
Honda civic 2003,$1300,Feb 28
4x4 Ford Van 2011: E-350; V10; 6.8L;prix négociable,$32000,Feb 28
Land Rover Defender 110 5 doors 2003,$1,Feb 28
Mini Austin 1000cm3,$11900,Feb 28
TOYOTA rav 4  SPORT 4 X 4,$7500,Feb 27
2010 Hyundai Santa Fe GLS,$4550,Feb 27
Honda CRV  AWD  2003,$2200,Feb 27
2006 Honda CR-V AWD,$3300,Feb 27
2013 Audi Q5 quattro,$11990,Feb 27
TOYOTA RAV4  SPORT   2011,$10990,Feb 27
Honda Fit SPORT  2007,$2990,Feb 27
"THREE DIE CAST CARS: LAMBORGHINI, VIPER, BUICK, SEE BELOW-FOR DETAILS",$70,Feb 27
"OVER 4 POUNDS OF LEGO DUPLO, CARS, BRICKS, BLOCKS, PIECES, FIGURES, 40",$40,Feb 27
Hyundai Sonata 2013 a vendre,$9450,Feb 27
Dodge Ram 1500 Quadcab 4x4 2016,$25995,Feb 27
Suzuki SX4 2012 a vendre,$5950,Feb 27
Subaru Impreza 2013 manuel a vendre,$6950,Feb 27
"LARGE BOX , ASSORTED LEGO FRIENDS, 7.5 POUNDS, CARS, FIGURES, FLOWERS,",$90,Feb 27
2010 Ferrari 458 Italia Coupe ***Accident Free Canadian Car***,$179888,Feb 27
2008 Chrysler Sebring Hard Top Convertable Limited 3.5L,$5995,Feb 26
2011 Dodge Grand Caravan  SXT. STOW N GO,$6496,Feb 26
2009 AUDI A3 S LINE Quattro-----CUIR*TOIT*MAGS,$4990,Feb 26
2009 CADILAC CTS4,$3990,Feb 26
2010 LEXUS ES350 Premium-----CUIR*TOIT*MAGS,$7700,Feb 26
2007 Dodge Caliber SXT -----116.000km,$2990,Feb 26
2004 BMW X5--CUIR*TOIT*MAGS,$3990,Feb 26
VOLVO C30  2008,$3300,Feb 26
Volkswagen Passat GLS 2.0T-----CUIR-TOIT-MAGS,$2550,Feb 26
2010 MINI Cooper-----CUIR*TOIT*MAGS,$5990,Feb 26
Mazda3 Hatchback 2011,$3990,Feb 26
Chevrolet 1969,$13551,Feb 26
CHEVROLET MALIBU LS,$1250,Feb 26
2012 BMW X1 xDrive28i------98.000km,$11990,Feb 26
Volkswagen New Beetle Convertible,$5500,Feb 26
2012 Fiat 500  CABRIOLET -----63.000km,$6550,Feb 26
Mitsubishi  Lancer ES  2005,$1990,Feb 26
2016 BMW X5 M - 567hp - NO ACCIDENTS,$63888,Feb 26
"Toyota corolla, LE automatic  privet",$3750,Feb 26
2003 Mitsubishi Eclipse GT,$3800,Feb 25
2010 LEXUS  RX350 Premium-----CUIR*TOIT*MAGS,$11990,Feb 25
2007 MAZDA CX-7 GT AWD---------CUIR-TOIT-MAGS,$3990,Feb 25
Toyota Corolla CE  2010,$5770,Feb 25
2015 SUBARU FORESTER AWD  PREMIUM,$7880,Feb 25
Suzuki SX4  2008,$1990,Feb 25
Toyota 4Runner SR5  4X4,$7700,Feb 25
